created_at,entry_id,Acc_x,Acc_y,Gyro_x,Gyro_y,EMG,latitude,longitude,elevation,status
2024-01-12T15:34:40+00:00,265,9.37809,2.96163,-0.06502,0.02665,1952,,,,
2024-01-12T15:34:57+00:00,266,9.42837,2.82516,-0.05436,0.03251,1983,,,,
2024-01-12T15:35:17+00:00,267,9.4547,2.70784,-0.05409,0.01092,1994,,,,
2024-01-12T15:35:32+00:00,268,9.46907,2.67432,-0.01839,0.00533,1971,,,,
2024-01-12T15:35:48+00:00,269,9.42597,2.66475,-0.089,0.0016,2016,,,,
2024-01-12T15:36:06+00:00,270,9.57441,2.64559,-0.07727,0.05116,2022,,,,
2024-01-12T15:36:23+00:00,271,9.52174,2.55461,-0.02372,0.02904,2055,,,,
2024-01-12T15:36:40+00:00,272,9.5385,2.51152,-0.02318,0.00906,2064,,,,
2024-01-12T15:36:56+00:00,273,9.46428,2.88022,-0.03464,-0.02425,2064,,,,
2024-01-12T15:37:12+00:00,274,9.414,3.07655,-0.0485,0.0024,2073,,,,
2024-01-12T15:37:31+00:00,275,9.39724,2.96402,-0.03757,0.01359,2064,,,,
2024-01-12T15:37:47+00:00,276,9.40921,2.8898,-0.05462,0.04104,2081,,,,
2024-01-12T15:38:03+00:00,277,9.46189,2.96642,-0.06262,0.02638,2089,,,,
2024-01-12T15:38:20+00:00,278,9.47864,2.87544,-0.05489,0.04263,2090,,,,
2024-01-12T15:38:35+00:00,279,9.50498,2.91135,-0.05196,0.00719,2096,,,,
2024-01-12T15:38:50+00:00,280,9.52174,2.9329,-0.02771,0.02798,2112,,,,
2024-01-12T15:39:05+00:00,281,9.33978,2.90896,-0.05622,0.01252,2128,,,,
2024-01-12T15:39:24+00:00,282,9.47625,2.70066,-0.09033,0.06582,2132,,,,
2024-01-12T15:39:40+00:00,283,9.4978,2.83473,-0.04077,0.02958,2129,,,,
2024-01-12T15:39:58+00:00,284,9.56005,2.87065,-0.04263,0.03491,2147,,,,
2024-01-12T15:40:13+00:00,285,9.45231,2.81319,-0.07035,0.02292,2119,,,,
2024-01-12T15:40:32+00:00,286,9.4547,2.56898,-0.12604,0.00719,2134,,,,
2024-01-12T15:40:51+00:00,287,9.47386,2.62405,-0.06502,0.02691,2157,,,,
2024-01-12T15:41:07+00:00,288,9.46907,2.65278,-0.06182,0.01732,2158,,,,
2024-01-12T15:41:25+00:00,289,9.39964,2.87783,-0.05969,0.01412,2177,,,,
